pole-number,X_WGS84,Y_WGS84,X_TN,Y_TN
1,-86.66833967,36.05102465,1770934.792,625926.0873
3,-86.6654402,36.04933317,1771787.694,625304.5168
2,-86.6668725,36.05017024,1771366.371,625612.1079
4,-86.66401863,36.04851127,1772205.892,625002.4762
5,-86.66233152,36.04756791,1772702.297,624655.6994
6,-86.66083753,36.04669178,1773141.79,624333.7851
7,-86.65929794,36.04579394,1773594.718,624003.8887
8,-86.6576913,36.04484839,1774067.364,623656.4946
9,-86.65637702,36.04412186,1774454.125,623389.4189
10,-86.65484011,36.04321966,1774906.28,623057.959
11,-86.65329516,36.04233914,1775360.877,622734.3812
12,-86.65162683,36.04137402,1775851.755,622379.7744
13,-86.64991826,36.04043058,1776354.592,622032.9875
14,-86.64848596,36.03947629,1776775.738,621682.799
15,-86.64721191,36.03865212,1777150.421,621380.2927
16,-86.64605051,36.0376631,1777491.41,621018.0047
17,-86.64495349,36.03663936,1777813.291,620643.2092
18,-86.64373577,36.03553102,1778170.665,620237.3857
19,-86.64255023,36.03448123,1778518.672,619852.9414
20,-86.64123058,36.0333143,1778906.061,619425.6
21,-86.63992435,36.03211698,1779289.424,618987.2296
22,-86.63836598,36.03073961,1779746.919,618482.8354
23,-86.63722336,36.02970928,1780082.325,618105.5763
24,-86.63602978,36.02863772,1780432.712,617713.2157
25,-86.63496763,36.02768979,1780744.537,617366.1146
26,-86.63386524,36.02670063,1781068.17,617003.9328
27,-86.63232565,36.02533401,1781520.201,616503.517
28,-86.63136274,36.02448366,1781802.936,616192.137
29,-86.62996531,36.02324282,1782213.251,615737.79
30,-86.62866175,36.02208874,1782596.022,615315.2072
31,-86.62758082,36.02109301,1782913.34,614950.6926
32,-86.6263175,36.0199736,1783284.314,614540.8191
33,-86.62502736,36.0188173,1783663.145,614117.4689
34,-86.62373185,36.01768485,1784043.629,613702.7945
35,-86.62259996,36.01670424,1784376.089,613343.708
36,-86.62180603,36.01586031,1784608.928,613035.0094
37,-86.62081629,36.01498165,1784899.597,612713.306
38,-86.61972731,36.01402487,1785219.443,612362.985
39,-86.61833256,36.01280557,1785629.123,611916.5303
40,-86.61710143,36.01166435,1785990.606,611498.8117
46,-86.60944641,36.00413537,1788237.51,608743.9647
47,-86.60828501,36.00309818,1788578.679,608364.2754
48,-86.60706192,36.00202409,1788938.02,607971.0443